identifiant;ecole;gender;age;poids;camsa_skill_score1;camsa_time1;camsa_skill_score2;camsa_time2;plank_time;pacer_lap_distance;pacer_laps;pa_guideline;crf_means;ms_means;sports_skill;pa_is;pa_is_also;improve;increase;when_cooling_down;heart_rate;csappa1;csappa2;csappa3;csappa4;csappa5;csappa6;why_active1;why_active2;why_active3;feelings_about_pa1;feelings_about_pa2;feelings_about_pa3;self_report_pa;non_wear_time1;non_wear_time2;non_wear_time3;non_wear_time4;non_wear_time5;non_wear_time6;non_wear_time7;steps1;steps2;steps3;steps4;steps5;steps6;steps7;time_on1;time_on2;time_on3;time_on4;time_on5;time_on6;time_on7;time_off1;time_off2;time_off3;time_off4;time_off5;time_off6;time_off7;pacer_laps_20m;pacer_score;pacer_interpretation;plank_score;plank_interpretation;camsa_time_score1;camsa_time_score2;camsa_skill_time_score1;camsa_skill_time_score2;camsa_score;camsa_interpretation;pc_score;pc_interpretation;pc_status;valid_days;step_average;step_score;step_interpretation;self_report_pa_score;db_score;db_interpretation;db_status;predilection_score;adequacy_score;intrinsic_motivation_score;pa_competence_score;mc_score;mc_interpretation;mc_status;pa_guideline_score;crf_means_score;ms_means_score;sports_skill_score;fill_in_the_blanks_score;ku_score;ku_interpretation;ku_status;capl_score;capl_interpretation;capl_status
40;SAINTE COLOMBE;girl;10;NA;11;23;10;20;80;20;23;3;2;1;3;1;7;3;8;2;4;4;2;4;2;2;1;4;3;5;3;3;4;4;12,08333333333333;10,5833333333333;14,85000000000000;18,93333333333333;13,90000000000000;22,8666666666667;NA;7365;7476;3209;1688;3326;558;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;23;4;achieving;7;achieving;5;7;16;17;6,07142857142857;progressing;16,5;progressing;complete;5;4613;3;beginning;3;6;beginning;complete;4,8;6,1;6,0;5,0;21,9;progressing;complete;1;1;1;0;6;9;excelling;complete;53,4000000000000;progressing;complete
41;SAINTE COLOMBE;girl;10;NA;11;20;11;20;60;20;19;3;2;1;3;7;4;3;8;2;1;3;2;3;1;3;1;4;5;3;4;3;5;1;11,10000000000000;10,6166666666667;10,75000000000000;11,88333333333333;10,50000000000000;12,7666666666667;NA;8380;6833;6236;4768;4550;3330;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;19;3;progressing;5;progressing;7;7;18;18;6,42857142857143;progressing;12,0;beginning;complete;6;5683;4;beginning;0;4;beginning;complete;7,5;6,8;6,0;6,0;26,3;excelling;complete;1;1;1;0;4;7;progressing;complete;49,3000000000000;beginning;complete
42;SAINTE COLOMBE;girl;10;NA;13;17;11;20;185;20;44;3;2;1;4;1;7;3;8;2;4;3;1;3;1;3;1;5;5;5;4;3;5;5;12,83333333333333;10,4833333333333;13,36666666666667;12,76666666666667;15,98333333333333;23,0666666666667;NA;9051;9756;7297;6938;2841;148;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;44;8;excelling;10;excelling;10;7;23;18;8,21428571428572;achieving;27,0;excelling;complete;5;7177;7;beginning;4;11;progressing;complete;7,5;7,5;7,5;6,0;28,5;excelling;complete;1;1;1;1;6;10;excelling;complete;76,5000000000000;excelling;complete
43;SAINTE COLOMBE;girl;10;NA;9;16;10;15;440;20;19;3;2;2;4;7;1;3;8;2;4;3;1;3;1;3;2;3;3;5;4;3;3;3;10,91666666666667;14,3666666666667;9,23333333333333;15,66666666666667;12,28333333333333;14,8833333333333;NA;4027;6715;8257;2512;4339;4462;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;19;3;progressing;10;excelling;11;12;20;22;7,85714285714286;progressing;19,5;achieving;complete;6;5052;4;beginning;2;6;beginning;complete;7,5;6,8;5,5;5,0;24,8;achieving;complete;1;1;0;1;6;9;excelling;complete;59,3000000000000;progressing;complete
44;SAINTE COLOMBE;boy;10;NA;13;18;10;16;140;20;29;3;2;1;3;1;7;3;8;2;4;4;1;3;2;3;1;5;4;5;5;4;4;7;11,58333333333333;10,7166666666667;9,65000000000000;9,55000000000000;12,83333333333333;11,7333333333333;NA;4600;12103;11959;12963;15131;3855;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;29;5;achieving;10;excelling;9;11;22;21;7,85714285714286;progressing;22,5;achieving;complete;6;10102;13;progressing;5;18;progressing;complete;6,8;6,8;7,0;6,5;27,1;excelling;complete;1;1;1;0;6;9;excelling;complete;76,6000000000000;excelling;complete
45;SAINTE COLOMBE;boy;11;NA;12;15;12;15;113;20;30;4;1;2;4;7;1;3;8;2;4;3;1;3;1;3;1;4;4;4;5;5;5;6;15,21666666666667;10,5833333333333;14,85000000000000;13,30000000000000;11,55000000000000;23,9833333333333;NA;810;8594;9068;2151;3028;5;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;30;6;progressing;10;excelling;12;12;24;24;8,57142857142857;achieving;24,0;excelling;complete;4;5710;4;beginning;5;9;progressing;complete;7,5;7,5;6,0;7,5;28,5;excelling;complete;0;0;0;1;6;7;progressing;complete;68,5000000000000;progressing;complete
46;SAINTE COLOMBE;girl;10;NA;13;19;10;18;130;20;22;2;2;1;3;1;7;3;8;2;4;3;4;2;2;4;4;3;2;4;3;3;3;4;11,48333333333333;11,2500000000000;10,50000000000000;11,90000000000000;12,16666666666667;12,5333333333333;NA;7687;8758;7835;4313;4240;4322;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;22;4;achieving;10;excelling;8;9;21;19;7,50000000000000;progressing;21,0;achieving;complete;6;6192;5;beginning;3;8;beginning;complete;5,5;4,2;4,5;4,5;18,7;progressing;complete;0;1;1;0;6;8;achieving;complete;55,7000000000000;progressing;complete
47;SAINTE COLOMBE;girl;11;NA;11;14;12;16;165;20;27;3;2;1;3;1;7;3;8;2;4;3;1;3;1;3;1;5;4;5;1;5;5;5;10,95000000000000;12,0000000000000;8,18333333333333;11,98333333333333;9,90000000000000;13,1833333333333;NA;7935;8750;7922;13109;8037;12717;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;27;5;achieving;10;excelling;13;11;24;23;8,57142857142857;achieving;22,5;excelling;complete;6;9745;12;progressing;4;16;progressing;complete;7,5;7,5;7,0;5,5;27,5;excelling;complete;1;1;1;0;6;9;excelling;complete;75,0000000000000;excelling;complete
48;SAINTE COLOMBE;boy;10;NA;12;19;13;18;105;20;47;3;2;4;4;7;1;8;4;2;8;4;1;3;1;3;1;1;1;1;1;1;1;6;18,25000000000000;12,2000000000000;10,71666666666667;9,25000000000000;22,65000000000000;15,3500000000000;NA;1911;15533;7320;13228;1819;2516;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;47;9;excelling;9;achieving;8;9;20;22;7,85714285714286;progressing;27,0;excelling;complete;6;7054;7;beginning;5;12;progressing;complete;6,8;7,5;1,5;1,5;17,3;progressing;complete;1;1;0;1;3;6;progressing;complete;62,3000000000000;progressing;complete
49;SAINTE COLOMBE;boy;10;NA;13;18;12;18;701;20;67;4;2;1;4;1;7;3;8;2;4;3;1;3;4;3;1;5;5;5;3;3;4;7;12,13333333333333;11,3666666666667;9,30000000000000;10,80000000000000;12,50000000000000;12,7333333333333;NA;5961;12405;8902;7736;10317;3573;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;67;10;excelling;10;excelling;9;9;22;21;7,85714285714286;progressing;30,0;excelling;complete;6;8149;9;beginning;5;14;progressing;complete;7,5;6,2;7,5;5,0;26,2;excelling;complete;0;1;1;1;6;9;excelling;complete;79,2000000000000;excelling;complete
