id;date;wear_time;total_counts_axis1;total_counts_vm;axis1_per_min;vm_per_min;minutes_SED;minutes_LPA;minutes_MPA;minutes_VPA;minutes_MVPA;percent_SED;percent_LPA;percent_MPA;percent_VPA;percent_MVPA;ratio_mvpa_sed;mets_hours_mvpa;total_kcal;pal;total_steps;max_steps_60min;max_steps_30min;max_steps_20min;max_steps_5min;max_steps_1min;peak_steps_60min;peak_steps_30min;peak_steps_20min;peak_steps_5min;peak_steps_1min;ig;M1/3;M120;M60;M30;M15;M5
89;2024-04-14;516;499729;1110270,16;968,47;2151,69;91;290;135;0;135;17,64;56,20;26,16;0;26,16;1,48;0;NA;NA;12220;37,30;48,50;49,40;83,6;115;65,37;75,00;81,05;99,0;115;-1,29;2313,02;4724,48;5412,70;6044,39;6703,32;7948,24
89;2024-04-15;645;616075;1161856,50;955,16;1801,33;183;340;122;0;122;28,37;52,71;18,91;0;18,91;0,67;0;NA;NA;15886;89,13;120,57;143,35;175,8;182;118,60;142,80;157,55;177,0;182;-1,17;2402,15;5494,33;6893,02;7942,63;8512,24;9072,21
89;2024-04-16;685;492634;1030054,92;719,17;1503,73;226;371;88;0;88;32,99;54,16;12,85;0;12,85;0,39;0;NA;NA;11158;46,75;60,27;80,50;101,6;139;84,83;97,13;104,00;121,2;139;-1,43;2133,25;5060,19;6687,74;7825,28;8398,60;9259,45
89;2024-04-17;444;280675;613015,02;632,15;1380,66;137;255;52;0;52;30,86;57,43;11,71;0;11,71;0,38;0;NA;NA;5891;42,78;69,70;72,35;85,2;95;62,55;76,70;81,70;92,2;95;-1,34;1380,66;4036,11;5789,15;7452,69;8318,06;9288,81
91;2024-04-13;657;266938;613125,10;406,30;933,22;307;307;43;0;43;46,73;46,73;6,54;0;6,54;0,14;0;NA;NA;6847;30,22;39,07;44,80;73,0;114;58,68;72,13;79,50;104,0;114;-1,72;1275,74;3296,26;3985,36;4574,71;5212,47;6523,33
91;2024-04-14;257;140181;368543,22;545,45;1434,02;68;167;22;0;22;26,46;64,98;8,56;0;8,56;0,32;0;NA;NA;3961;39,45;54,27;69,25;78,4;92;49,73;65,20;72,35;86,8;92;-1,45;1434,02;2669,67;3562,10;4327,01;5243,05;6364,34
91;2024-04-15;803;617665;1216145,15;769,20;1514,50;199;501;103;0;103;24,78;62,39;12,83;0;12,83;0,52;0;NA;NA;18132;94,50;125,97;151,95;184,8;190;131,08;154,83;170,15;187,2;190;-1,56;2425,34;5119,92;6578,67;7811,74;8618,00;9778,69
91;2024-04-16;721;406482;924856,06;563,78;1282,74;187;467;67;0;67;25,94;64,77;9,29;0;9,29;0,36;0;NA;NA;9649;39,85;63,33;90,05;115,0;131;93,47;107,93;112,65;124,6;131;-1,57;1877,66;4220,27;5584,75;6745,55;7725,59;8256,48
91;2024-04-17;665;413148;910622,91;621,28;1369,36;194;400;71;0;71;29,17;60,15;10,68;0;10,68;0,37;0;NA;NA;10885;56,22;62,10;76,15;121,0;139;93,92;114,47;119,95;129,6;139;-1,56;1883,57;4096,97;5160,30;6254,10;6931,08;7812,84
98;2024-04-13;274;125657;382183,87;458,60;1394,83;70;182;22;0;22;25,55;66,42;8,03;0;8,03;0,31;0;NA;NA;2771;18,52;21,60;27,35;33,2;44;27,37;32,27;34,45;40,6;44;-1,06;1394,83;2625,56;3337,49;3859,74;4302,22;4880,75
98;2024-04-14;677;167853;532028,74;247,94;785,86;258;411;8;0;8;38,11;60,71;1,18;0;1,18;0,03;0;NA;NA;5622;23,22;24,60;26,70;43,4;94;39,30;46,47;50,40;69,2;94;-1,92;1106,53;2357,82;2876,97;3298,51;3665,48;4331,61
98;2024-04-15;781;348780;845667,17;446,58;1082,80;206;539;36;0;36;26,38;69,01;4,61;0;4,61;0,17;0;NA;NA;12652;78,10;110,17;128,25;168,0;185;109,73;133,87;147,25;179,0;185;-1,81;1685,33;3386,55;4213,30;5196,15;6223,90;6960,21
98;2024-04-16;918;312878;934636,66;340,83;1018,12;287;594;37;0;37;31,26;64,71;4,03;0;4,03;0,13;0;NA;NA;9543;37,68;51,40;54,95;108,4;131;64,25;83,33;95,65;119,8;131;-1,84;1799,36;3241,39;3905,61;4557,99;5357,43;6372,52
98;2024-04-17;682;212169;662859,94;311,10;971,94;184;477;21;0;21;26,98;69,94;3,08;0;3,08;0,11;0;NA;NA;6060;21,85;22,83;27,00;50,0;122;42,08;54,13;62,05;100,8;122;-1,78;1357,08;2780,36;3395,79;3993,44;4589,30;5284,71
